condition,label,experiment_id,commit,ts,elapsed_s,fusion_criteria,mIoU,mAcc,AP,AP_agnostic,Num_Instances,n_scenes,per_scene,th_aabb,th_cossim,th_points,th_overlap_ratio,th_overlap_cos,th_overlap_ratio_low,cooccurrence_veto_threshold
light,smoke1,20260613_GT_CLIP_smoke1_a46f7,5fb61fe,2026-06-13T20:22:42.077742,46.552435,"[""centroid"", ""cos_sim"", ""overlap""]",0.29017610939133637,0.38933212587545535,0.0,0.128,102.0,1,"[{""Scene"": ""office0"", ""mIoU"": 0.29017610939133637, ""mAcc"": 0.38933212587545535, ""AP_agnostic"": 0.128, ""Num_Instances"": 102.0}]",,,,,,,
light,smoke2,20260613_GT_CLIP_smoke2_fbcce,5fb61fe,2026-06-13T20:24:05.447286,46.854913,"[""centroid"", ""cos_sim"", ""overlap""]",0.29017610939133637,0.38933212587545535,0.0,0.128,102.0,1,"[{""Scene"": ""office0"", ""mIoU"": 0.29017610939133637, ""mAcc"": 0.38933212587545535, ""AP_agnostic"": 0.128, ""Num_Instances"": 102.0}]",,,,,,,
light,abl-centroid-cossim-overlap,20260613_GT_CLIP_abl-centroid-cossim-overlap_3688f,5fb61fe,2026-06-13T20:25:27.247535,325.029507,"[""centroid"", ""cos_sim"", ""overlap""]",0.2663235017641644,0.39971465458992234,0.0,0.154,68.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.29017610939133637, ""mAcc"": 0.38933212587545535, ""AP_agnostic"": 0.128, ""Num_Instances"": 102.0}, {""Scene"": ""office1"", ""mIoU"": 0.18713595369727193, ""mAcc"": 0.351050071573652, ""AP_agnostic"": 0.173, ""Num_Instances"": 51.0}, {""Scene"": ""office2"", ""mIoU"": 0.25612396976658686, ""mAcc"": 0.31914186708056963, ""AP_agnostic"": 0.091, ""Num_Instances"": 85.0}, {""Scene"": ""office3"", ""mIoU"": 0.2556942634072242, ""mAcc"": 0.3221447274897325, ""AP_agnostic"": 0.17, ""Num_Instances"": 135.0}, {""Scene"": ""office4"", ""mIoU"": 0.4585752562922962, ""mAcc"": 0.5898525139090869, ""AP_agnostic"": 0.16, ""Num_Instances"": 95.0}, {""Scene"": ""room0"", ""mIoU"": 0.31872292681742037, ""mAcc"": 0.39221527525906175, ""AP_agnostic"": 0.183, ""Num_Instances"": 103.0}, {""Scene"": ""room1"", ""mIoU"": 0.40681707468017003, ""mAcc"": 0.5550383770352862, ""AP_agnostic"": 0.227, ""Num_Instances"": 68.0}, {""Scene"": ""room2"", ""mIoU"": 0.2753365290648517, ""mAcc"": 0.3712396581154627, ""AP_agnostic"": 0.127, ""Num_Instances"": 92.0}]",,,,,,,
aggressive,abl-centroid-cossim-overlap,20260613_GT_CLIP_abl-centroid-cossim-overlap_8746b,5fb61fe,2026-06-13T20:30:52.284951,361.616914,"[""centroid"", ""cos_sim"", ""overlap""]",0.22802881402867137,0.3429130318444699,0.0,0.095,83.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.19456756157991534, ""mAcc"": 0.2843761423537125, ""AP_agnostic"": 0.021, ""Num_Instances"": 125.0}, {""Scene"": ""office1"", ""mIoU"": 0.18218807642459514, ""mAcc"": 0.3336232625631881, ""AP_agnostic"": 0.081, ""Num_Instances"": 60.0}, {""Scene"": ""office2"", ""mIoU"": 0.26008651688150136, ""mAcc"": 0.32536325655228643, ""AP_agnostic"": 0.084, ""Num_Instances"": 96.0}, {""Scene"": ""office3"", ""mIoU"": 0.2393149179434976, ""mAcc"": 0.31053126452051705, ""AP_agnostic"": 0.124, ""Num_Instances"": 152.0}, {""Scene"": ""office4"", ""mIoU"": 0.41994816642316857, ""mAcc"": 0.5565548515913231, ""AP_agnostic"": 0.163, ""Num_Instances"": 128.0}, {""Scene"": ""room0"", ""mIoU"": 0.23029086642691005, ""mAcc"": 0.29252141758899636, ""AP_agnostic"": 0.101, ""Num_Instances"": 131.0}, {""Scene"": ""room1"", ""mIoU"": 0.31328403946059874, ""mAcc"": 0.4492800293646713, ""AP_agnostic"": 0.113, ""Num_Instances"": 83.0}, {""Scene"": ""room2"", ""mIoU"": 0.26965183172200496, ""mAcc"": 0.3350838604213945, ""AP_agnostic"": 0.056, ""Num_Instances"": 101.0}]",,,,,,,
light,abl-cooccurrence-centroid-cossim-overlap,20260613_GT_CLIP_abl-cooccurrence-centroid-cossim-overlap_317c6,5fb61fe,2026-06-13T20:36:53.908451,323.045151,"[""cooccurrence"", ""centroid"", ""cos_sim"", ""overlap""]",0.26876185343200976,0.39952649165306936,0.0,0.21,75.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.29146471587330597, ""mAcc"": 0.3877441826878231, ""AP_agnostic"": 0.127, ""Num_Instances"": 108.0}, {""Scene"": ""office1"", ""mIoU"": 0.16795141511126577, ""mAcc"": 0.3305553041910266, ""AP_agnostic"": 0.209, ""Num_Instances"": 57.0}, {""Scene"": ""office2"", ""mIoU"": 0.22714447339060365, ""mAcc"": 0.284498520724266, ""AP_agnostic"": 0.16, ""Num_Instances"": 100.0}, {""Scene"": ""office3"", ""mIoU"": 0.26239827627697154, ""mAcc"": 0.32491925753085493, ""AP_agnostic"": 0.2, ""Num_Instances"": 155.0}, {""Scene"": ""office4"", ""mIoU"": 0.45921112776079365, ""mAcc"": 0.5902597350130108, ""AP_agnostic"": 0.217, ""Num_Instances"": 105.0}, {""Scene"": ""room0"", ""mIoU"": 0.33750756698032164, ""mAcc"": 0.4024803723797567, ""AP_agnostic"": 0.25, ""Num_Instances"": 126.0}, {""Scene"": ""room1"", ""mIoU"": 0.4110804878494405, ""mAcc"": 0.5591210376785367, ""AP_agnostic"": 0.354, ""Num_Instances"": 75.0}, {""Scene"": ""room2"", ""mIoU"": 0.2773167687094191, ""mAcc"": 0.3705599141321893, ""AP_agnostic"": 0.175, ""Num_Instances"": 99.0}]",,,,,,,
aggressive,abl-cooccurrence-centroid-cossim-overlap,20260613_GT_CLIP_abl-cooccurrence-centroid-cossim-overlap_84a88,5fb61fe,2026-06-13T20:42:16.959957,355.179413,"[""cooccurrence"", ""centroid"", ""cos_sim"", ""overlap""]",0.23292996020478554,0.3508459181653706,0.0,0.105,93.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.1911538078230309, ""mAcc"": 0.2679445173983479, ""AP_agnostic"": 0.012, ""Num_Instances"": 132.0}, {""Scene"": ""office1"", ""mIoU"": 0.17235175607613223, ""mAcc"": 0.32282293638433673, ""AP_agnostic"": 0.065, ""Num_Instances"": 67.0}, {""Scene"": ""office2"", ""mIoU"": 0.25621032948756833, ""mAcc"": 0.3177654639834927, ""AP_agnostic"": 0.09, ""Num_Instances"": 113.0}, {""Scene"": ""office3"", ""mIoU"": 0.234011033734615, ""mAcc"": 0.30946921191230065, ""AP_agnostic"": 0.124, ""Num_Instances"": 173.0}, {""Scene"": ""office4"", ""mIoU"": 0.4191505886827785, ""mAcc"": 0.5560896231092807, ""AP_agnostic"": 0.164, ""Num_Instances"": 135.0}, {""Scene"": ""room0"", ""mIoU"": 0.2510450675659923, ""mAcc"": 0.3189684964292623, ""AP_agnostic"": 0.138, ""Num_Instances"": 154.0}, {""Scene"": ""room1"", ""mIoU"": 0.3172144638919517, ""mAcc"": 0.45397951992868096, ""AP_agnostic"": 0.154, ""Num_Instances"": 93.0}, {""Scene"": ""room2"", ""mIoU"": 0.2709733069053422, ""mAcc"": 0.33767389016768257, ""AP_agnostic"": 0.062, ""Num_Instances"": 109.0}]",,,,,,,
light,abl-centroid-cossim-overlapold,20260613_GT_CLIP_abl-centroid-cossim-overlapold_c7069,5fb61fe,2026-06-13T20:48:12.145722,333.595521,"[""centroid"", ""cos_sim"", ""overlap_old""]",0.2669083614713801,0.4004114910316463,0.0,0.152,78.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.2745849999779284, ""mAcc"": 0.361263816116456, ""AP_agnostic"": 0.093, ""Num_Instances"": 118.0}, {""Scene"": ""office1"", ""mIoU"": 0.19042675802479836, ""mAcc"": 0.35230908817019585, ""AP_agnostic"": 0.164, ""Num_Instances"": 68.0}, {""Scene"": ""office2"", ""mIoU"": 0.2620376570613509, ""mAcc"": 0.32750277402138034, ""AP_agnostic"": 0.117, ""Num_Instances"": 107.0}, {""Scene"": ""office3"", ""mIoU"": 0.2536726100630661, ""mAcc"": 0.3201524451950545, ""AP_agnostic"": 0.159, ""Num_Instances"": 170.0}, {""Scene"": ""office4"", ""mIoU"": 0.45627634725667704, ""mAcc"": 0.5869141048573336, ""AP_agnostic"": 0.184, ""Num_Instances"": 114.0}, {""Scene"": ""room0"", ""mIoU"": 0.33075356028668984, ""mAcc"": 0.4028421135287574, ""AP_agnostic"": 0.164, ""Num_Instances"": 132.0}, {""Scene"": ""room1"", ""mIoU"": 0.4111353182643176, ""mAcc"": 0.5600293280417978, ""AP_agnostic"": 0.23, ""Num_Instances"": 78.0}, {""Scene"": ""room2"", ""mIoU"": 0.26287372419113475, ""mAcc"": 0.3505932856697558, ""AP_agnostic"": 0.122, ""Num_Instances"": 101.0}]",,,,,,,
aggressive,abl-centroid-cossim-overlapold,20260613_GT_CLIP_abl-centroid-cossim-overlapold_32fd7,5fb61fe,2026-06-13T20:53:45.747876,366.079929,"[""centroid"", ""cos_sim"", ""overlap_old""]",0.22980721029951948,0.3445489455437827,0.0,0.098,97.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.18954270143521257, ""mAcc"": 0.2818010950407752, ""AP_agnostic"": 0.018, ""Num_Instances"": 143.0}, {""Scene"": ""office1"", ""mIoU"": 0.18038908518753305, ""mAcc"": 0.32543476186272624, ""AP_agnostic"": 0.079, ""Num_Instances"": 82.0}, {""Scene"": ""office2"", ""mIoU"": 0.26607110460075284, ""mAcc"": 0.32193249085604997, ""AP_agnostic"": 0.079, ""Num_Instances"": 125.0}, {""Scene"": ""office3"", ""mIoU"": 0.2351122639094724, ""mAcc"": 0.30888909857633634, ""AP_agnostic"": 0.12, ""Num_Instances"": 173.0}, {""Scene"": ""office4"", ""mIoU"": 0.4215988289419241, ""mAcc"": 0.5570923611712227, ""AP_agnostic"": 0.15, ""Num_Instances"": 147.0}, {""Scene"": ""room0"", ""mIoU"": 0.23459315807363057, ""mAcc"": 0.29777034455492923, ""AP_agnostic"": 0.116, ""Num_Instances"": 173.0}, {""Scene"": ""room1"", ""mIoU"": 0.3191787379725037, ""mAcc"": 0.4549729090700228, ""AP_agnostic"": 0.134, ""Num_Instances"": 97.0}, {""Scene"": ""room2"", ""mIoU"": 0.2689221278245424, ""mAcc"": 0.3349078712724618, ""AP_agnostic"": 0.061, ""Num_Instances"": 118.0}]",,,,,,,
light,abl-cooccurrence-centroid-cossim-overlapold,20260613_GT_CLIP_abl-cooccurrence-centroid-cossim-overlapold_4aee4,5fb61fe,2026-06-13T20:59:51.834965,326.042908,"[""cooccurrence"", ""centroid"", ""cos_sim"", ""overlap_old""]",0.26645304619181287,0.39665454236101794,0.0,0.195,83.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.2727671789516031, ""mAcc"": 0.36005207344416335, ""AP_agnostic"": 0.127, ""Num_Instances"": 122.0}, {""Scene"": ""office1"", ""mIoU"": 0.16932723224447474, ""mAcc"": 0.33029698167395516, ""AP_agnostic"": 0.197, ""Num_Instances"": 70.0}, {""Scene"": ""office2"", ""mIoU"": 0.22568841719790797, ""mAcc"": 0.2835148281659242, ""AP_agnostic"": 0.159, ""Num_Instances"": 116.0}, {""Scene"": ""office3"", ""mIoU"": 0.2591758092529949, ""mAcc"": 0.3229520198068991, ""AP_agnostic"": 0.172, ""Num_Instances"": 180.0}, {""Scene"": ""office4"", ""mIoU"": 0.45625329250107743, ""mAcc"": 0.5868582449706236, ""AP_agnostic"": 0.208, ""Num_Instances"": 123.0}, {""Scene"": ""room0"", ""mIoU"": 0.3357700405915403, ""mAcc"": 0.40166384455392407, ""AP_agnostic"": 0.225, ""Num_Instances"": 138.0}, {""Scene"": ""room1"", ""mIoU"": 0.41115465965311254, ""mAcc"": 0.5600315757985367, ""AP_agnostic"": 0.342, ""Num_Instances"": 83.0}, {""Scene"": ""room2"", ""mIoU"": 0.263988257404622, ""mAcc"": 0.35228326512916847, ""AP_agnostic"": 0.164, ""Num_Instances"": 107.0}]",,,,,,,
aggressive,abl-cooccurrence-centroid-cossim-overlapold,20260613_GT_CLIP_abl-cooccurrence-centroid-cossim-overlapold_ce1aa,5fb61fe,2026-06-13T21:05:17.885494,359.671309,"[""cooccurrence"", ""centroid"", ""cos_sim"", ""overlap_old""]",0.23269588981244999,0.3486036464247669,0.0,0.107,106.0,8,"[{""Scene"": ""office0"", ""mIoU"": 0.18654747198586433, ""mAcc"": 0.2661335648907585, ""AP_agnostic"": 0.011, ""Num_Instances"": 151.0}, {""Scene"": ""office1"", ""mIoU"": 0.17264274123248063, ""mAcc"": 0.31987701190614726, ""AP_agnostic"": 0.066, ""Num_Instances"": 86.0}, {""Scene"": ""office2"", ""mIoU"": 0.2565492388842946, ""mAcc"": 0.31817630975560574, ""AP_agnostic"": 0.099, ""Num_Instances"": 134.0}, {""Scene"": ""office3"", ""mIoU"": 0.24215899258723747, ""mAcc"": 0.3215067483301387, ""AP_agnostic"": 0.118, ""Num_Instances"": 192.0}, {""Scene"": ""office4"", ""mIoU"": 0.41940285028759045, ""mAcc"": 0.5558414445469415, ""AP_agnostic"": 0.164, ""Num_Instances"": 155.0}, {""Scene"": ""room0"", ""mIoU"": 0.24914222456100146, ""mAcc"": 0.3177663844596727, ""AP_agnostic"": 0.127, ""Num_Instances"": 180.0}, {""Scene"": ""room1"", ""mIoU"": 0.3196611134978609, ""mAcc"": 0.45574077730067375, ""AP_agnostic"": 0.185, ""Num_Instances"": 106.0}, {""Scene"": ""room2"", ""mIoU"": 0.27065433235424047, ""mAcc"": 0.33777696974041466, ""AP_agnostic"": 0.058, ""Num_Instances"": 124.0}]",,,,,,,
